trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20251103,BSE,7982292743.0,968235966.0,2541291003.0,929108.0,2036.0,7983221851.0,38898.0
20251031,SZSE,1211064759281.0,131049000947.0,139666985730.0,5662274393.0,17571251.0,1216727033674.0,749571895.0
20251031,SSE,1249924363716.0,122045530370.0,125675261723.0,11818501517.0,55476764.0,1261742865233.0,2528925042.0
20251031,BSE,7930777179.0,1191650194.0,2822427314.0,1019952.0,11499.0,7931797131.0,44161.0
20251030,SZSE,1219692195482.0,145102553945.0,148642644373.0,5744674819.0,29242746.0,1225436870301.0,764118376.0
20251030,SSE,1253578067034.0,135289948532.0,139103246559.0,12160865938.0,61616340.0,1265738932972.0,2575065250.0
20251030,BSE,7909705155.0,1723218387.0,3539980255.0,703472.0,1226.0,7910408627.0,32888.0
20251029,SZSE,1223249001559.0,148794148005.0,142399671702.0,5808897005.0,33907605.0,1229057898564.0,755749130.0
20251029,SSE,1257413401254.0,130595923792.0,125640827477.0,12260661695.0,49178634.0,1269674062949.0,2562965862.0
20251029,BSE,7915463691.0,1532856204.0,3396410443.0,896951.0,42353.0,7916360642.0,51316.0
20251028,SZSE,1216867140055.0,133205622268.0,126485677530.0,5649969009.0,41358633.0,1222517109064.0,742585838.0
20251028,SSE,1252496637936.0,124600410793.0,118594745416.0,12119340364.0,81087279.0,1264615978300.0,2567336633.0
20251028,BSE,7626915931.0,555699573.0,2172177333.0,283481.0,904.0,7627199412.0,16867.0
